FUNC __main__.calculate_z_serial_purepython 48.5156 1737634741.3699 48.5156 1737634741.4370 0
CMDLINE /usr/bin/python JuliaSet_profile_small.py
MEM 0.597656 1737634740.9038
MEM 19.953125 1737634741.0044
MEM 29.632812 1737634741.1052
MEM 37.839844 1737634741.2056
MEM 45.765625 1737634741.3059
MEM 48.515625 1737634741.4063
MEM 48.515625 1737634741.5067
